Date;Gold;Argent;Platine;Palladium
17.05.2017;2 232,16;30,24;1 689,43;1 454,28
18.05.2017;2 270,37;30,83;1 712,90;1 437,45
19.05.2017;2 330,53;31,06;1 729,40;1 437,47
20.05.2017;2 300,58;30,82;1 714,61;1 411,39
23.05.2017;2 280,13;30,79;1 703,86;1 382,34
24.05.2017;2 290,86;31,17;1 720,10;1 401,90
25.05.2017;2 264,02;30,81;1 704,32;1 400,37
26.05.2017;2 266,17;30,92;1 703,55;1 379,06
27.05.2017;2 308,30;31,55;1 738,98;1 412,35
30.05.2017;2 306,55;31,52;1 752,18;1 422,16
31.05.2017;2 294,58;31,38;1 718,93;1 446,38
01.06.2017;2 303,34;31,55;1 715,02;1 467,15
02.06.2017;2 301,50;31,14;1 714,11;1 483,26
03.06.2017;2 298,14;31,33;1 691,32;1 518,18
06.06.2017;2 331,16;31,89;1 734,67;1 534,45
07.06.2017;2 346,63;32;1 749,25;1 541,52
08.06.2017;2 351,86;32,02;1 746,57;1 559,17
09.06.2017;2 353,92;32,25;1 733,20;1 548,15
10.06.2017;2 335,26;31,8;1 717,20;1 581,58
14.06.2017;2 307,78;30,78;1 723,56;1 646,72
15.06.2017;2 325,42;31,1;1 701,55;1 624,54
16.06.2017;2 327,50;31,14;1 724,96;1 575,37
17.06.2017;2 332,76;31,11;1 711,61;1 616,93
20.06.2017;2 331,31;31,06;1 719,93;1 626,75
21.06.2017;2 347,59;31,24;1 745,86;1 632,86
22.06.2017;2 405,61;31,85;1 774,72;1 685,98
23.06.2017;2 419,97;32,06;1 796,51;1 713,35
24.06.2017;2 409,58;32,05;1 785,65;1 701,26
27.06.2017;2 353,82;31,36;1 747,08;1 627,57
28.06.2017;2 367,22;31,54;1 747,40;1 631,91
29.06.2017;2 395,94;32,12;1 759,24;1 646,30
30.06.2017;2 368,09;31,97;1 745,77;1 637,49
01.07.2017;2 373,75;31,45;1 758,47;1 609,55
04.07.2017;2 341,83;31,24;1 742,34;1 598,25
05.07.2017;2 331,30;30,75;1 730,98;1 622,44
06.07.2017;2 340,55;30,55;1 737,36;1 637,75
07.07.2017;2 371,28;31,01;1 760,59;1 634,70
08.07.2017;2 369,08;30,75;1 754,88;1 624,81
11.07.2017;2 341,12;29,51;1 746,80;1 622,72
12.07.2017;2 366,63;30,29;1 747,78;1 638,42
13.07.2017;2 376,69;30,85;1 763,90;1 662,55
14.07.2017;2 363,34;30,86;1 774,35;1 679,53
15.07.2017;2 346,73;30,24;1 742,31;1 653,75
18.07.2017;2 335,49;30,52;1 754,68;1 631,25
19.07.2017;2 361,38;30,87;1 763,74;1 645,39
20.07.2017;2 361,50;30,91;1 754,20;1 641,82
21.07.2017;2 348,87;30,73;1 736,18;1 620,31
22.07.2017;2 363,19;31,13;1 758,30;1 606,72
25.07.2017;2 408,75;31,65;1 793,35;1 613,06
26.07.2017;2 407,86;31,37;1 782,81;1 650,11
27.07.2017;2 398,83;31,53;1 777,84;1 648,79
28.07.2017;2 410,62;32,07;1 774,47;1 677,05
29.07.2017;2 411,34;31,7;1 772,71;1 678,90
01.08.2017;2 445,42;32,36;1 805,56;1 714,80
02.08.2017;2 437,90;32,21;1 814,40;1 710,50
03.08.2017;2 467,12;32,47;1 840,63;1 751,03
04.08.2017;2 464,50;32,17;1 853,55;1 736,36
05.08.2017;2 461,92;32,39;1 875,59;1 714,60
08.08.2017;2 428,31;31,15;1 857,61;1 679,96
09.08.2017;2 432,93;31,61;1 868,89;1 706,88
10.08.2017;2 444,34;31,98;1 877,67;1 725,37
11.08.2017;2 464,17;32,91;1 876,69;1 722,55
12.08.2017;2 492,94;33,07;1 900,23;1 741,56
15.08.2017;2 463,02;32,63;1 864,90;1 720,71
16.08.2017;2 455,75;32,54;1 851,54;1 728,24
17.08.2017;2 435,97;31,99;1 848,82;1 712,65
18.08.2017;2 449,51;32,42;1 855,37;1 748,70
19.08.2017;2 471,99;32,73;1 876,06;1 771,09
22.08.2017;2 448,27;32,36;1 863,39;1 770,22
23.08.2017;2 439,33;32,31;1 850,71;1 778,58
24.08.2017;2 445,68;32,43;1 861,19;1 777,54
25.08.2017;2 444,99;32,19;1 848,15;1 773,99
26.08.2017;2 447,50;32,37;1 861,70;1 785,64
29.08.2017;2 419,35;32,04;1 835,27;1 750,56
30.08.2017;2 490,44;33,12;1 879,96;1 772,70
31.08.2017;2 474,72;32,93;1 871,24;1 774,94
01.09.2017;2 457,88;32,64;1 863,45;1 759,93
02.09.2017;2 460,84;32,66;1 860,93;1 743,34
05.09.2017;2 479,32;33,07;1 878,16;1 835,43
06.09.2017;2 475,84;33,26;1 859,93;1 811,57
07.09.2017;2 470,54;32,76;1 858,23;1 780,80
08.09.2017;2 462,58;32,68;1 846,31;1 730,57
09.09.2017;2 475,50;33,37;1 858,14;1 739,03
12.09.2017;2 460,67;32,81;1 843,55;1 744,30
13.09.2017;2 441,80;32,68;1 815,35;1 728,82
14.09.2017;2 470,08;33,21;1 828,11;1 753,95
15.09.2017;2 457,30;32,97;1 816,50;1 747,78
16.09.2017;2 450,91;32,74;1 809,05;1 718,41
19.09.2017;2 435,14;32,48;1 793,37;1 734,09
20.09.2017;2 444,10;32,04;1 785,75;1 737,18
21.09.2017;2 457,40;32,48;1 781,05;1 696,95
22.09.2017;2 428,57;31,73;1 759,63;1 710,96
23.09.2017;2 404,09;31,46;1 746,07;1 696,02
26.09.2017;2 397,70;31,37;1 723,08;1 702,73
27.09.2017;2 416,80;31,46;1 729,06;1 693,93
28.09.2017;2 408,36;31,5;1 715,86;1 708,40
29.09.2017;2 412,46;31,6;1 726,27;1 750,69
30.09.2017;2 400,53;31,45;1 721,66;1 744,04
03.10.2017;2 366,37;30,82;1 697,03;1 745,36
04.10.2017;2 366,97;30,94;1 698,81;1 702,54
05.10.2017;2 369,68;31,26;1 698,00;1 707,29
06.10.2017;2 366,67;30,84;1 693,92;1 717,98
07.10.2017;2 355,13;30,87;1 699,21;1 749,35
10.10.2017;2 403,87;31,72;1 719,26;1 743,63
11.10.2017;2 407,73;31,96;1 723,27;1 740,08
12.10.2017;2 402,61;31,94;1 731,85;1 743,02
13.10.2017;2 400,78;31,89;1 735,98;1 787,91
14.10.2017;2 396,96;31,86;1 733,95;1 821,02
17.10.2017;2 395,42;31,95;1 730,74;1 844,54
18.10.2017;2 377,56;31,54;1 710,76;1 817,69
19.10.2017;2 358,11;31,21;1 703,24;1 800,83
20.10.2017;2 375,49;31,51;1 706,56;1 771,35
21.10.2017;2 367,24;31,57;1 699,27;1 789,88
24.10.2017;2 356,31;31,4;1 692,51;1 783,05
25.10.2017;2 366,65;31,54;1 708,85;1 777,35
26.10.2017;2 358,02;31,29;1 693,03;1 785,65
27.10.2017;2 373,46;31,52;1 710,45;1 797,73
28.10.2017;2 367,52;31,22;1 710,56;1 807,66
31.10.2017;2 368,10;31,11;1 709,90;1 795,49
01.11.2017;2 381,26;31,27;1 715,31;1 816,21
02.11.2017;2 391,87;31,45;1 733,26;1 856,66
03.11.2017;2 383,72;31,64;1 734,94;1 854,46
04.11.2017;2 395,72;32,09;1 732,03;1 867,28
08.11.2017;2 398,76;31,79;1 740,32;1 866,24
09.11.2017;2 442,51;32,39;1 765,81;1 906,77
10.11.2017;2 446,04;32,38;1 777,38;1 941,21
11.11.2017;2 448,06;32,59;1 785,85;1 921,17
14.11.2017;2 432,48;32,35;1 769,56;1 879,92
15.11.2017;2 441,49;32,44;1 778,84;1 905,35
16.11.2017;2 490,46;32,8;1 801,46;1 894,43
17.11.2017;2 464,32;33,01;1 795,63;1 901,71
18.11.2017;2 461,43;32,67;1 788,77;1 905,72
21.11.2017;2 462,86;32,56;1 799,00;1 898,10
22.11.2017;2 446,97;32,78;1 772,14;1 900,22
23.11.2017;2 435,77;32,25;1 771,88;1 908,47
24.11.2017;2 424,97;31,89;1 753,67;1 883,36
25.11.2017;2 425,97;32,17;1 761,40;1 898,78
28.11.2017;2 425,82;31,95;1 761,24;1 866,16
29.11.2017;2 429,95;32,11;1 776,59;1 881,76
30.11.2017;2 428,34;32,01;1 779,74;1 920,40
01.12.2017;2 414,85;31,82;1 772,31;1 917,34
02.12.2017;2 403,02;31,17;1 770,40;1 907,74
05.12.2017;2 425,95;31,14;1 767,64;1 926,95
06.12.2017;2 407,63;30,81;1 739,82;1 879,46
07.12.2017;2 403,37;30,85;1 727,86;1 875,64
08.12.2017;2 395,93;30,72;1 715,73;1 904,46
09.12.2017;2 374,50;30,32;1 705,81;1 934,52
12.12.2017;2 383,22;30,14;1 694,95;1 925,39
13.12.2017;2 352,08;29,95;1 687,35;1 903,00
14.12.2017;2 360,95;30,01;1 667,65;1 911,05
15.12.2017;2 369,96;29,64;1 659,12;1 902,61
16.12.2017;2 380,77;30,32;1 668,29;1 956,13
19.12.2017;2 375,14;30,16;1 690,80;1 926,68
20.12.2017;2 380,20;30,32;1 711,04;1 920,21
21.12.2017;2 389,85;30,5;1 732,99;1 938,76
22.12.2017;2 383,26;30,47;1 720,82;1 937,33
23.12.2017;2 377,44;30,27;1 709,89;1 927,37
26.12.2017;2 372,69;30,27;1 706,48;1 923,53
27.12.2017;2 353,75;30,02;1 692,85;1 908,17
28.12.2017;2 374,39;29,88;1 703,12;1 958,03
29.12.2017;2 393,10;30,57;1 710,15;1 960,28
30.12.2017;2 400,97;31;1 716,70;1 955,59
10.01.2018;2 411,72;31,49;1 764,38;2 022,99
11.01.2018;2 416,66;31,19;1 760,87;2 009,54
12.01.2018;2 418,56;31,4;1 788,47;1 982,71
13.01.2018;2 425,60;30,95;1 810,69;1 976,29
16.01.2018;2 433,40;31,02;1 802,86;2 043,84
17.01.2018;2 420,14;31,41;1 796,59;2 014,14
18.01.2018;2 433,29;31,1;1 821,31;2 008,72
19.01.2018;2 426,61;31,41;1 823,04;2 018,30
20.01.2018;2 430,33;31,09;1 841,22;2 021,34
23.01.2018;2 428,91;31,02;1 853,34;1 998,99
24.01.2018;2 425,06;30,9;1 795,53;1 973,27
25.01.2018;2 448,38;30,78;1 838,32;1 992,42
26.01.2018;2 445,94;30,91;1 834,11;1 988,76
27.01.2018;2 430,97;31,45;1 830,83;1 969,05
30.01.2018;2 440,32;31,49;1 826,08;1 972,67
31.01.2018;2 435,46;31,37;1 806,19;1 956,40
01.02.2018;2 426,57;31,24;1 813,58;1 920,16
02.02.2018;2 425,84;31,17;1 803,41;1 864,92
03.02.2018;2 423,36;30,97;1 807,16;1 886,43
06.02.2018;2 434,36;31,2;1 809,70;1 889,81
07.02.2018;2 473,69;31,04;1 832,29;1 893,00
08.02.2018;2 432,60;30,77;1 805,45;1 843,91
09.02.2018;2 431,01;30,95;1 806,04;1 835,71
10.02.2018;2 461,36;30,57;1 817,90;1 814,16
13.02.2018;2 465,36;30,51;1 801,87;1 841,04
14.02.2018;2 469,16;30,51;1 803,49;1 835,06
15.02.2018;2 463,96;30,75;1 801,56;1 831,19
16.02.2018;2 463,01;30,17;1 828,56;1 855,86
17.02.2018;2 461,60;30,48;1 831,80;1 862,60
20.02.2018;2 440,81;30,5;1 829,61;1 902,07
21.02.2018;2 430,27;30,38;1 820,80;1 871,68
22.02.2018;2 419,99;30,18;1 810,53;1 870,64
23.02.2018;2 415,26;29,99;1 801,18;1 868,70
27.02.2018;2 407,47;29,86;1 806,88;1 907,57
28.02.2018;2 385,47;29,84;1 782,73;1 899,07
01.03.2018;2 393,01;30,11;1 778,03;1 901,28
02.03.2018;2 379,10;29,83;1 763,57;1 850,66
03.03.2018;2 398,74;29,72;1 748,84;1 805,32
06.03.2018;2 434,83;30,19;1 775,22;1 821,12
07.03.2018;2 406,97;29,99;1 743,98;1 782,13
08.03.2018;2 433,41;30,35;1 753,15;1 787,85
13.03.2018;2 397,56;30;1 743,68;1 803,74
14.03.2018;2 413,92;30,12;1 759,14;1 795,75
15.03.2018;2 425,42;30,22;1 773,82;1 837,89
16.03.2018;2 425,96;30,44;1 754,37;1 822,20
17.03.2018;2 440,09;30,54;1 769,00;1 830,00
20.03.2018;2 427,09;30,48;1 743,02;1 844,79
21.03.2018;2 435,42;30,21;1 762,44;1 845,93
22.03.2018;2 433,30;30,04;1 748,70;1 822,64
23.03.2018;2 428,36;29,69;1 747,01;1 805,49
24.03.2018;2 464,61;30,33;1 751,58;1 802,99
27.03.2018;2 471,24;30,44;1 741,08;1 797,89
28.03.2018;2 482,78;30,59;1 759,16;1 797,77
29.03.2018;2 481,73;30,45;1 743,25;1 808,03
30.03.2018;2 458,63;30,23;1 738,25;1 803,25
31.03.2018;2 437,35;29,97;1 723,28;1 785,87
03.04.2018;2 438,21;29,98;1 723,88;1 786,50
04.04.2018;2 472,54;30,56;1 727,78;1 740,73
05.04.2018;2 494,46;30,57;1 716,03;1 725,31
06.04.2018;2 456,67;30,18;1 684,62;1 719,79
07.04.2018;2 464,79;30,26;1 693,89;1 684,60
10.04.2018;2 501,72;30,77;1 728,70;1 724,93
11.04.2018;2 678,90;33,07;1 870,89;1 874,90
12.04.2018;2 770,65;34,12;1 917,54;1 966,97
13.04.2018;2 685,69;33,23;1 847,80;1 905,67
14.04.2018;2 648,05;32,6;1 842,73;1 931,60
17.04.2018;2 691,93;33,24;1 862,16;1 978,30
18.04.2018;2 640,06;32,68;1 824,33;1 948,18
19.04.2018;2 664,83;33,53;1 868,18;2 010,67
20.04.2018;2 637,35;33,64;1 858,81;2 064,25
21.04.2018;2 642,18;33,73;1 835,52;2 005,07
24.04.2018;2 637,15;33,63;1 830,91;2 039,42
25.04.2018;2 631,54;32,9;1 821,97;1 913,17
26.04.2018;2 631,90;32,89;1 832,42;1 929,70
27.04.2018;2 660,62;33,36;1 829,56;1 950,33
28.04.2018;2 657,39;33,34;1 831,15;1 980,39
29.04.2018;2 634,19;32,95;1 815,93;1 959,45
04.05.2018;2 680,60;33,61;1 839,05;1 988,05
05.05.2018;2 660,55;33,35;1 826,74;1 960,85
08.05.2018;2 640,18;33,1;1 816,71;1 941,72
09.05.2018;2 653,78;33,31;1 841,37;1 968,99
11.05.2018;2 642,95;33,37;1 841,30;1 965,93
12.05.2018;2 629,51;33,27;1 839,94;1 992,78
15.05.2018;2 622,78;33,06;1 838,94;1 975,97
16.05.2018;2 607,86;32,67;1 801,54;1 944,87
17.05.2018;2 587,50;32,56;1 796,78;1 969,04
18.05.2018;2 561,73;32,57;1 764,99;1 951,83
19.05.2018;2 563,38;32,64;1 764,42;1 953,60
22.05.2018;2 585,16;32,85;1 769,21;1 954,18
23.05.2018;2 548,45;32,66;1 778,54;1 965,65
24.05.2018;2 562,52;32,73;1 790,20;1 936,74
25.05.2018;2 559,44;32,6;1 792,70;1 911,16
26.05.2018;2 585,22;33,05;1 808,13;1 942,95
29.05.2018;2 609,68;33,37;1 817,87;1 958,01
30.05.2018;2 622,31;33,18;1 824,67;1 973,71
31.05.2018;2 613,35;32,94;1 823,26;1 970,17
01.06.2018;2 599,11;33;1 818,48;1 972,02
02.06.2018;2 598,24;32,84;1 819,96;1 977,96
05.06.2018;2 577,73;32,73;1 793,95;2 008,98
06.06.2018;2 575,16;32,65;1 787,52;1 978,82
07.06.2018;2 582,15;32,98;1 798,18;1 989,56
08.06.2018;2 580,13;33,28;1 802,50;2 021,10
09.06.2018;2 617,66;33,69;1 809,31;2 041,01
10.06.2018;2 602,18;33,51;1 805,94;2 034,44
14.06.2018;2 626,65;34,3;1 812,11;2 043,44
15.06.2018;2 612,45;34,27;1 811,28;2 033,44
16.06.2018;2 620,18;34,71;1 819,88;2 029,48
19.06.2018;2 615,10;33,89;1 808,37;2 022,68
20.06.2018;2 634,54;33,69;1 812,66;2 024,82
21.06.2018;2 604,24;33,31;1 763,09;1 990,12
22.06.2018;2 591,61;33,32;1 771,90;1 972,88
23.06.2018;2 581,55;33,4;1 758,72;1 947,80
26.06.2018;2 569,92;33,14;1 774,94;1 936,85
27.06.2018;2 537,90;32,75;1 740,18;1 895,62
28.06.2018;2 551,13;32,9;1 747,71;1 926,34
29.06.2018;2 544,58;32,78;1 733,69;1 935,14
30.06.2018;2 523,19;32,34;1 706,95;1 912,75
03.07.2018;2 535,44;32,44;1 709,24;1 928,48
04.07.2018;2 532,25;32,38;1 670,76;1 914,66
05.07.2018;2 555,01;32,62;1 703,47;1 923,01
06.07.2018;2 547,42;32,44;1 710,48;1 928,11
07.07.2018;2 545,28;32,46;1 702,67;1 917,79
10.07.2018;2 550,64;32,74;1 731,27;1 943,39
11.07.2018;2 516,96;31,98;1 690,42;1 903,23
12.07.2018;2 495,62;31,77;1 679,05;1 874,71
13.07.2018;2 489,67;31,68;1 663,98;1 883,98
14.07.2018;2 484,45;31,66;1 666,31;1 886,62
17.07.2018;2 491,75;31,64;1 663,30;1 883,47
18.07.2018;2 496,42;31,66;1 660,07;1 846,75
19.07.2018;2 474,18;31,22;1 629,97;1 838,27
20.07.2018;2 476,59;31,04;1 635,60;1 839,03
21.07.2018;2 500,18;31,37;1 663,59;1 820,76
24.07.2018;2 497,98;31,46;1 680,29;1 808,29
25.07.2018;2 476,80;31,38;1 687,21;1 857,15
26.07.2018;2 495,78;31,57;1 699,62;1 880,13
27.07.2018;2 485,93;31,44;1 695,94;1 898,32
28.07.2018;2 468,31;31,09;1 660,18;1 876,82
31.07.2018;2 466,63;31,27;1 663,19;1 869,07
01.08.2018;2 443,99;30,93;1 655,79;1 856,25
02.08.2018;2 459,34;31,13;1 669,39;1 868,51
03.08.2018;2 471,56;31,36;1 658,40;1 869,50
04.08.2018;2 463,85;31,34;1 681,06;1 868,75
07.08.2018;2 474,29;31,33;1 698,52;1 865,92
08.08.2018;2 482,99;31,59;1 703,81;1 859,07
09.08.2018;2 478,80;31,37;1 690,91;1 850,39
10.08.2018;2 590,39;32,99;1 764,58;1 911,62
11.08.2018;2 606,41;33,07;1 785,43;1 933,86
14.08.2018;2 641,77;33,31;1 794,23;1 978,48
15.08.2018;2 565,32;32,27;1 725,52;1 916,53
16.08.2018;2 532,51;31,64;1 681,65;1 899,33
17.08.2018;2 537,03;31,41;1 679,67;1 858,17
18.08.2018;2 530,03;31,52;1 681,38;1 939,39
21.08.2018;2 567,59;31,87;1 717,13;1 982,80
22.08.2018;2 579,05;31,93;1 727,86;1 980,56
23.08.2018;2 601,85;32,2;1 717,39;1 986,96
24.08.2018;2 615,81;32,22;1 718,46;2 018,09
25.08.2018;2 593,54;31,86;1 708,75;2 011,71
28.08.2018;2 595,22;31,68;1 703,14;2 019,49
29.08.2018;2 627,63;32,28;1 748,50;2 058,34
30.08.2018;2 638,52;32,18;1 735,20;2 061,65
31.08.2018;2 631,81;32,1;1 731,41;2 145,11
01.09.2018;2 640,21;32,06;1 745,77;2 137,37
04.09.2018;2 617,34;31,64;1 714,11;2 145,36
05.09.2018;2 624,73;31,28;1 707,75;2 120,42
06.09.2018;2 629,69;31,19;1 703,67;2 161,51
07.09.2018;2 642,60;31,3;1 733,50;2 157,00
08.09.2018;2 664,85;31,48;1 759,92;2 172,71
11.09.2018;2 686,15;31,93;1 756,62;2 199,15
12.09.2018;2 686,17;31,78;1 775,04;2 179,99
13.09.2018;2 679,26;31,66;1 764,85;2 176,42
14.09.2018;2 662,75;31,39;1 774,21;2 155,97
15.09.2018;2 648,01;31,21;1 771,64;2 149,23
18.09.2018;2 624,04;31,07;1 743,07;2 148,69
19.09.2018;2 612,62;30,95;1 744,80;2 158,67
20.09.2018;2 591,76;30,56;1 766,62;2 184,58
21.09.2018;2 570,98;30,41;1 756,73;2 220,49
22.09.2018;2 572,16;30,52;1 784,92;2 249,25
25.09.2018;2 549,83;30,45;1 756,96;2 239,81
26.09.2018;2 538,40;30,24;1 756,53;2 236,93
27.09.2018;2 534,48;30,6;1 746,32;2 238,92
28.09.2018;2 531,52;30,52;1 754,71;2 275,41
29.09.2018;2 495,75;30,17;1 710,22;2 290,14
02.10.2018;2 498,93;30,68;1 714,02;2 245,30
03.10.2018;2 500,91;30,42;1 727,88;2 210,17
04.10.2018;2 531,49;30,99;1 743,75;2 208,61
05.10.2018;2 553,33;31,14;1 747,70;2 243,70
06.10.2018;2 572,88;31,35;1 758,67;2 259,92
09.10.2018;2 572,51;31,14;1 754,76;2 284,42
10.10.2018;2 534,99;30,58;1 750,63;2 312,11
11.10.2018;2 524,47;30,59;1 744,83;2 283,17
12.10.2018;2 578,51;30,91;1 766,81;2 305,65
13.10.2018;2 585,15;30,97;1 779,64;2 305,69
16.10.2018;2 606,48;31,16;1 784,16;2 283,05
17.10.2018;2 589,01;31,09;1 776,08;2 285,94
18.10.2018;2 579,54;30,81;1 766,30;2 277,27
19.10.2018;2 587,66;30,67;1 758,07;2 273,66
20.10.2018;2 598,94;30,91;1 753,08;2 289,48
23.10.2018;2 567,66;30,72;1 749,01;2 288,62
24.10.2018;2 594,47;30,9;1 738,61;2 385,34
25.10.2018;2 598,84;31,11;1 745,01;2 407,57
26.10.2018;2 604,56;31,16;1 750,25;2 352,70
27.10.2018;2 608,31;31;1 743,02;2 287,45
30.10.2018;2 604,18;31,08;1 760,46;2 333,87
31.10.2018;2 579,92;30,98;1 761,54;2 296,55
01.11.2018;2 568,09;30,42;1 752,55;2 260,81
02.11.2018;2 581,97;30,27;1 789,92;2 288,05
03.11.2018;2 604,98;30,47;1 823,80;2 327,72
07.11.2018;2 619,94;31,26;1 843,73;2 405,97
08.11.2018;2 624,36;31,24;1 861,41;2 384,14
09.11.2018;2 604,57;31,23;1 854,25;2 390,73
10.11.2018;2 620,06;31,14;1 850,52;2 407,18
13.11.2018;2 620,43;31,13;1 847,47;2 409,74
14.11.2018;2 605,87;30,81;1 836,54;2 404,48
15.11.2018;2 626,57;30,65;1 821,08;2 415,72
16.11.2018;2 592,80;29,92;1 784,08;2 422,32
17.11.2018;2 579,59;29,98;1 784,37;2 467,57
20.11.2018;2 596,63;30,32;1 791,14;2 508,45
21.11.2018;2 579,12;30,28;1 790,26;2 429,19
22.11.2018;2 595,24;30,62;1 791,65;2 446,82
23.11.2018;2 590,75;30,42;1 784,47;2 423,59
24.11.2018;2 580,23;30,65;1 777,65;2 419,46
27.11.2018;2 622,89;30,48;1 808,96;2 433,33
28.11.2018;2 630,21;30,87;1 805,65;2 451,90
29.11.2018;2 611,15;30,72;1 788,55;2 500,96
30.11.2018;2 627,47;30,31;1 763,14;2 534,39
01.12.2018;2 610,66;30,51;1 732,67;2 549,81
04.12.2018;2 623,78;30,34;1 728,52;2 544,82
05.12.2018;2 647,42;30,73;1 721,87;2 638,34
06.12.2018;2 655,80;31,25;1 712,31;2 683,41
07.12.2018;2 653,01;31,07;1 697,22;2 619,86
08.12.2018;2 670,58;30,94;1 697,62;2 605,60
11.12.2018;2 655,33;30,85;1 676,09;2 598,25
12.12.2018;2 668,88;31,07;1 667,71;2 651,24
13.12.2018;2 658,20;31,26;1 680,66;2 680,09
